episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-817.6749767603307,-919.5343108071623,-874.3417859802355,200.0,20,2,4000,4000,False,20,1,4c4167d6bce748fcbb66872cb640a17a,2021-09-18_16-11-46,1632006706,15.043341636657715,15.043341636657715,25667,028b450fc55a,172.17.0.2,15.043341636657715,0,1,bd4fa_00000,"[-867.2211472016518, -919.5343108071623, -872.2354448856794, -847.8142288891776, -876.5810629983243, -851.2886068811723, -905.3473013196804, -895.7257180110872, -839.4468177301612, -862.5947550439923, -817.6749767603307, -902.905428394902, -855.4113663358752, -868.6354246670273, -872.5913101820003, -898.243945415497, -918.3022957823769, -862.7148279854177, -857.0411380474712, -895.525612265728]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11903270967360557,1.7607333599359378,0.08319998192584617,0.6009432031535198,0.0,5243.763,762.811,0.093,43018502.564,9786.65,408.72,3.301,4000,4000,4000,4000,15.277272727272726,17.909090909090903,0.0,0.20000000000000004,5.0000000000000016e-05,74703.43581989247,-0.0437703889944861,74703.4765625,[-0.00299836],0.01486622387070368,4.144240398817165,0.0
-781.9753390110324,-925.645162073689,-876.5432941282397,200.0,20,2,8000,8000,False,40,2,4c4167d6bce748fcbb66872cb640a17a,2021-09-18_16-12-01,1632006721,14.504122734069824,29.54746437072754,25667,028b450fc55a,172.17.0.2,29.54746437072754,0,2,bd4fa_00000,"[-867.2211472016518, -919.5343108071623, -872.2354448856794, -847.8142288891776, -876.5810629983243, -851.2886068811723, -905.3473013196804, -895.7257180110872, -839.4468177301612, -862.5947550439923, -817.6749767603307, -902.905428394902, -855.4113663358752, -868.6354246670273, -872.5913101820003, -898.243945415497, -918.3022957823769, -862.7148279854177, -857.0411380474712, -895.525612265728, -886.1515314885894, -904.8264210997461, -882.7608723879479, -886.2790007865494, -810.4016963247198, -866.534656270313, -901.340300986379, -905.125038449529, -897.1578387812312, -907.7793230840163, -925.645162073689, -877.5988072972838, -852.6610249008718, -884.0273824466876, -849.5720656865242, -902.4165564602024, -879.010629958753, -900.3970521509344, -781.9753390110324, -873.2353458798714]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11706734325222792,1.7352760850839597,0.08203664007090974,0.5954089256954753,0.0,5096.543,784.846,0.075,53345678.855,9664.522,413.885,3.505,8000,8000,8000,8000,14.942857142857141,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,70035.94425403226,-0.04553728301618849,70035.98726058468,[-0.01004944],0.013051086945794797,4.123828222418344,0.0
-767.5691172450975,-925.645162073689,-873.0299226327039,200.0,20,2,12000,12000,False,60,3,4c4167d6bce748fcbb66872cb640a17a,2021-09-18_16-12-15,1632006735,14.264601469039917,43.812065839767456,25667,028b450fc55a,172.17.0.2,43.812065839767456,0,3,bd4fa_00000,"[-867.2211472016518, -919.5343108071623, -872.2354448856794, -847.8142288891776, -876.5810629983243, -851.2886068811723, -905.3473013196804, -895.7257180110872, -839.4468177301612, -862.5947550439923, -817.6749767603307, -902.905428394902, -855.4113663358752, -868.6354246670273, -872.5913101820003, -898.243945415497, -918.3022957823769, -862.7148279854177, -857.0411380474712, -895.525612265728, -886.1515314885894, -904.8264210997461, -882.7608723879479, -886.2790007865494, -810.4016963247198, -866.534656270313, -901.340300986379, -905.125038449529, -897.1578387812312, -907.7793230840163, -925.645162073689, -877.5988072972838, -852.6610249008718, -884.0273824466876, -849.5720656865242, -902.4165564602024, -879.010629958753, -900.3970521509344, -781.9753390110324, -873.2353458798714, -843.2493984980796, -875.4648070949404, -819.2875009549493, -889.6986175807268, -876.4376094117125, -861.4040036770934, -902.1179391104195, -855.483406995483, -844.8268318709521, -790.508360881453, -887.8915249811679, -855.1250868952543, -904.8756769019581, -889.8371296147112, -900.8957752460763, -767.5691172450975, -882.8846236536752, -906.0485849640887, -868.4876572603915, -897.969939994413]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11605926992281584,1.724860302378288,0.08158596191654845,0.5923149263811803,0.0,5067.908,789.28,0.071,55986260.289,9524.408,419.974,3.08,12000,12000,12000,12000,15.114999999999998,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,63371.44256132392,-0.0494324321227689,63371.48906670027,[-0.01729893],0.01445887751957842,4.099543504817511,0.0
-767.5691172450975,-925.645162073689,-875.2905700805968,200.0,20,2,16000,16000,False,80,4,4c4167d6bce748fcbb66872cb640a17a,2021-09-18_16-12-32,1632006752,16.497230768203735,60.30929660797119,25667,028b450fc55a,172.17.0.2,60.30929660797119,0,4,bd4fa_00000,"[-867.2211472016518, -919.5343108071623, -872.2354448856794, -847.8142288891776, -876.5810629983243, -851.2886068811723, -905.3473013196804, -895.7257180110872, -839.4468177301612, -862.5947550439923, -817.6749767603307, -902.905428394902, -855.4113663358752, -868.6354246670273, -872.5913101820003, -898.243945415497, -918.3022957823769, -862.7148279854177, -857.0411380474712, -895.525612265728, -886.1515314885894, -904.8264210997461, -882.7608723879479, -886.2790007865494, -810.4016963247198, -866.534656270313, -901.340300986379, -905.125038449529, -897.1578387812312, -907.7793230840163, -925.645162073689, -877.5988072972838, -852.6610249008718, -884.0273824466876, -849.5720656865242, -902.4165564602024, -879.010629958753, -900.3970521509344, -781.9753390110324, -873.2353458798714, -843.2493984980796, -875.4648070949404, -819.2875009549493, -889.6986175807268, -876.4376094117125, -861.4040036770934, -902.1179391104195, -855.483406995483, -844.8268318709521, -790.508360881453, -887.8915249811679, -855.1250868952543, -904.8756769019581, -889.8371296147112, -900.8957752460763, -767.5691172450975, -882.8846236536752, -906.0485849640887, -868.4876572603915, -897.969939994413, -850.790511518634, -807.5103561070111, -904.5598120351978, -895.4689601069808, -897.0242363550614, -875.4746582553823, -839.3187526444107, -896.3210936945361, -893.7185196661692, -873.6700204597316, -884.1092423219255, -872.850522890014, -873.11958675847, -898.2390038628691, -910.0013879425505, -896.4787122616143, -897.1676899416736, -887.279497568532, -880.6373191338372, -907.7103649609194]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11660546206191733,1.735809578672916,0.08211811042989256,0.5947732416315082,0.0,5244.345,762.726,0.073,54693450.693,9821.542,407.268,2.952,16000,16000,16000,16000,14.799999999999997,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,61407.43964633736,-0.05201777597909333,61407.4889406922,[-0.02212809],0.014456749037989686,4.071891528816633,0.0
-767.5691172450975,-929.3362975402298,-876.3931732871841,200.0,20,2,20000,20000,False,100,5,4c4167d6bce748fcbb66872cb640a17a,2021-09-18_16-12-47,1632006767,15.019642353057861,75.32893896102905,25667,028b450fc55a,172.17.0.2,75.32893896102905,0,5,bd4fa_00000,"[-867.2211472016518, -919.5343108071623, -872.2354448856794, -847.8142288891776, -876.5810629983243, -851.2886068811723, -905.3473013196804, -895.7257180110872, -839.4468177301612, -862.5947550439923, -817.6749767603307, -902.905428394902, -855.4113663358752, -868.6354246670273, -872.5913101820003, -898.243945415497, -918.3022957823769, -862.7148279854177, -857.0411380474712, -895.525612265728, -886.1515314885894, -904.8264210997461, -882.7608723879479, -886.2790007865494, -810.4016963247198, -866.534656270313, -901.340300986379, -905.125038449529, -897.1578387812312, -907.7793230840163, -925.645162073689, -877.5988072972838, -852.6610249008718, -884.0273824466876, -849.5720656865242, -902.4165564602024, -879.010629958753, -900.3970521509344, -781.9753390110324, -873.2353458798714, -843.2493984980796, -875.4648070949404, -819.2875009549493, -889.6986175807268, -876.4376094117125, -861.4040036770934, -902.1179391104195, -855.483406995483, -844.8268318709521, -790.508360881453, -887.8915249811679, -855.1250868952543, -904.8756769019581, -889.8371296147112, -900.8957752460763, -767.5691172450975, -882.8846236536752, -906.0485849640887, -868.4876572603915, -897.969939994413, -850.790511518634, -807.5103561070111, -904.5598120351978, -895.4689601069808, -897.0242363550614, -875.4746582553823, -839.3187526444107, -896.3210936945361, -893.7185196661692, -873.6700204597316, -884.1092423219255, -872.850522890014, -873.11958675847, -898.2390038628691, -910.0013879425505, -896.4787122616143, -897.1676899416736, -887.279497568532, -880.6373191338372, -907.7103649609194, -921.9934312489178, -867.3793935013335, -907.9523301519555, -921.5144104746606, -890.6985185749182, -869.8138700695768, -864.1099989176997, -899.6563638647561, -901.9449320424799, -881.0498365889055, -864.3741531783403, -887.977730621242, -887.3139926024865, -858.0607413625472, -855.9076346271094, -872.0550414612054, -904.8091735827687, -929.3362975402298, -850.9278319770368, -779.1960398824926]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11654604151396362,1.7375381307564794,0.08221095746268821,0.595151407090326,0.0,5181.763,771.938,0.07,57104206.943,9872.805,405.153,2.911,20000,20000,20000,20000,14.952380952380953,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,56361.57987231183,-0.05500662408628931,56361.63206065188,[-0.01614469],0.014987929508098673,4.053195623941319,0.0
