episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-815.4701594187744,-903.0907414271913,-875.0772432388669,200.0,20,2,4000,4000,False,20,1,5770542a4d95445a80991b007690a8e3,2021-09-18_16-50-01,1632009001,15.000737428665161,15.000737428665161,32173,028b450fc55a,172.17.0.2,15.000737428665161,0,1,"[-829.0623890105978, -870.4234107334927, -877.2324950527297, -815.4701594187744, -901.6364635322547, -831.3096935304349, -860.2680135080116, -903.0907414271913, -884.63260929058, -887.4346613317028, -870.8501251138398, -865.8727772676739, -891.0863921564743, -892.3510431990975, -900.5971578962933, -881.126191068537, -889.5262063005787, -868.9912899633484, -885.7587163544056, -894.8243286213191]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10965759309752474,1.6127920698845526,0.07623925559345571,0.5714106357198903,0.0,4869.738,821.399,0.065,61680941.176,10123.109,395.136,2.059,4000,4000,4000,4000,39.72272727272727,16.922727272727272,0.0,0.20000000000000004,5.0000000000000016e-05,72895.16812836021,-0.039682127084703214,72895.20486811156,[-0.00282636],0.013722400356698883,4.145335711715042,0.0
-804.3992078230593,-908.5003090493095,-874.279230506884,200.0,20,2,8000,8000,False,40,2,5770542a4d95445a80991b007690a8e3,2021-09-18_16-50-16,1632009016,15.23889970779419,30.23963713645935,32173,028b450fc55a,172.17.0.2,30.23963713645935,0,2,"[-829.0623890105978, -870.4234107334927, -877.2324950527297, -815.4701594187744, -901.6364635322547, -831.3096935304349, -860.2680135080116, -903.0907414271913, -884.63260929058, -887.4346613317028, -870.8501251138398, -865.8727772676739, -891.0863921564743, -892.3510431990975, -900.5971578962933, -881.126191068537, -889.5262063005787, -868.9912899633484, -885.7587163544056, -894.8243286213191, -888.0571356925724, -804.3992078230593, -896.7527176826982, -844.5405204855198, -861.7401666525292, -858.3027065535833, -872.8782173552248, -908.5003090493095, -834.8130292159669, -857.9603707420074, -896.0341865213121, -892.3904478408671, -875.3318004565617, -871.287254497607, -901.4265066264534, -882.242446971921, -852.6265618117291, -893.2296477314693, -904.8264210997459, -872.284700687891]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11011273771900265,1.6398670005300802,0.07742377375654527,0.5812420254522654,0.0,5014.444,797.696,0.076,52675717.425,10097.309,396.145,2.07,8000,8000,8000,8000,40.13636363636363,17.0,0.0,0.20000000000000004,5.0000000000000016e-05,69741.7035828293,-0.048692573517340645,69741.74968497983,[-0.01313352],0.013463232752514294,4.122759039684008,0.0
-767.27540950313,-923.232842630238,-872.5437916936057,200.0,20,2,12000,12000,False,60,3,5770542a4d95445a80991b007690a8e3,2021-09-18_16-50-32,1632009032,15.453502655029297,45.69313979148865,32173,028b450fc55a,172.17.0.2,45.69313979148865,0,3,"[-829.0623890105978, -870.4234107334927, -877.2324950527297, -815.4701594187744, -901.6364635322547, -831.3096935304349, -860.2680135080116, -903.0907414271913, -884.63260929058, -887.4346613317028, -870.8501251138398, -865.8727772676739, -891.0863921564743, -892.3510431990975, -900.5971578962933, -881.126191068537, -889.5262063005787, -868.9912899633484, -885.7587163544056, -894.8243286213191, -888.0571356925724, -804.3992078230593, -896.7527176826982, -844.5405204855198, -861.7401666525292, -858.3027065535833, -872.8782173552248, -908.5003090493095, -834.8130292159669, -857.9603707420074, -896.0341865213121, -892.3904478408671, -875.3318004565617, -871.287254497607, -901.4265066264534, -882.242446971921, -852.6265618117291, -893.2296477314693, -904.8264210997459, -872.284700687891, -878.3197932625773, -849.4366042442375, -790.529254777919, -906.8933221951095, -812.5468109158315, -923.232842630238, -872.3813532761995, -856.2807474404078, -892.8540801142632, -905.9894780014342, -845.1008372920359, -842.4317599444792, -865.109899911891, -891.562958126824, -916.0826857277501, -908.0409905959372, -902.2121368948193, -874.22539571362, -880.9519207722722, -767.27540950313]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11070881563421019,1.6567067191876048,0.07821556496173877,0.5872226604927079,0.0,5072.776,788.523,0.083,48395815.385,10149.95,394.091,2.083,12000,12000,12000,12000,40.018181818181816,17.0,0.0,0.20000000000000004,5.0000000000000016e-05,63185.373739919356,-0.05333357817313123,63185.42431115591,[-0.0175435],0.01361656165594719,4.1047208621937745,0.0
-767.27540950313,-923.232842630238,-873.4997595147267,200.0,20,2,16000,16000,False,80,4,5770542a4d95445a80991b007690a8e3,2021-09-18_16-50-47,1632009047,14.795777082443237,60.488916873931885,32173,028b450fc55a,172.17.0.2,60.488916873931885,0,4,"[-829.0623890105978, -870.4234107334927, -877.2324950527297, -815.4701594187744, -901.6364635322547, -831.3096935304349, -860.2680135080116, -903.0907414271913, -884.63260929058, -887.4346613317028, -870.8501251138398, -865.8727772676739, -891.0863921564743, -892.3510431990975, -900.5971578962933, -881.126191068537, -889.5262063005787, -868.9912899633484, -885.7587163544056, -894.8243286213191, -888.0571356925724, -804.3992078230593, -896.7527176826982, -844.5405204855198, -861.7401666525292, -858.3027065535833, -872.8782173552248, -908.5003090493095, -834.8130292159669, -857.9603707420074, -896.0341865213121, -892.3904478408671, -875.3318004565617, -871.287254497607, -901.4265066264534, -882.242446971921, -852.6265618117291, -893.2296477314693, -904.8264210997459, -872.284700687891, -878.3197932625773, -849.4366042442375, -790.529254777919, -906.8933221951095, -812.5468109158315, -923.232842630238, -872.3813532761995, -856.2807474404078, -892.8540801142632, -905.9894780014342, -845.1008372920359, -842.4317599444792, -865.109899911891, -891.562958126824, -916.0826857277501, -908.0409905959372, -902.2121368948193, -874.22539571362, -880.9519207722722, -767.27540950313, -870.5047067657522, -860.6830177117998, -879.3437103976781, -902.50090308416, -880.8275737187539, -914.6407137971634, -821.1290885884634, -889.3753563574318, -903.6387203245451, -885.963135919789, -848.7673288850644, -899.1871942509416, -875.3983037757508, -890.0889459661903, -849.6570080982734, -890.447298011231, -849.2050860014352, -870.0108932784246, -884.5408663100867, -861.443408318863]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11058133520435084,1.6583426570942101,0.07831177408674722,0.5882213916242365,0.0,4995.92,800.653,0.075,53601329.073,10118.085,395.332,2.037,16000,16000,16000,16000,41.0952380952381,17.0,0.0,0.20000000000000004,5.0000000000000016e-05,59881.79590053763,-0.06001525303719425,59881.85254116263,[-0.01534957],0.016552186419601683,4.068359276556199,0.0
-767.27540950313,-930.3263473739789,-876.1313312717683,200.0,20,2,20000,20000,False,100,5,5770542a4d95445a80991b007690a8e3,2021-09-18_16-51-03,1632009063,15.83024787902832,76.3191647529602,32173,028b450fc55a,172.17.0.2,76.3191647529602,0,5,"[-829.0623890105978, -870.4234107334927, -877.2324950527297, -815.4701594187744, -901.6364635322547, -831.3096935304349, -860.2680135080116, -903.0907414271913, -884.63260929058, -887.4346613317028, -870.8501251138398, -865.8727772676739, -891.0863921564743, -892.3510431990975, -900.5971578962933, -881.126191068537, -889.5262063005787, -868.9912899633484, -885.7587163544056, -894.8243286213191, -888.0571356925724, -804.3992078230593, -896.7527176826982, -844.5405204855198, -861.7401666525292, -858.3027065535833, -872.8782173552248, -908.5003090493095, -834.8130292159669, -857.9603707420074, -896.0341865213121, -892.3904478408671, -875.3318004565617, -871.287254497607, -901.4265066264534, -882.242446971921, -852.6265618117291, -893.2296477314693, -904.8264210997459, -872.284700687891, -878.3197932625773, -849.4366042442375, -790.529254777919, -906.8933221951095, -812.5468109158315, -923.232842630238, -872.3813532761995, -856.2807474404078, -892.8540801142632, -905.9894780014342, -845.1008372920359, -842.4317599444792, -865.109899911891, -891.562958126824, -916.0826857277501, -908.0409905959372, -902.2121368948193, -874.22539571362, -880.9519207722722, -767.27540950313, -870.5047067657522, -860.6830177117998, -879.3437103976781, -902.50090308416, -880.8275737187539, -914.6407137971634, -821.1290885884634, -889.3753563574318, -903.6387203245451, -885.963135919789, -848.7673288850644, -899.1871942509416, -875.3983037757508, -890.0889459661903, -849.6570080982734, -890.447298011231, -849.2050860014352, -870.0108932784246, -884.5408663100867, -861.443408318863, -851.7553216910799, -890.6320152557289, -906.952429157764, -897.4786132558066, -907.2879963454089, -863.9123799210604, -874.9315889658438, -879.5733696243639, -911.912529486952, -880.155843555672, -916.0334299255379, -930.3263473739789, -886.8965335947915, -878.4177090792106, -875.773871392956, -887.0055240922612, -889.5656109423484, -882.5558250899613, -858.8014296487256, -863.1839975992322]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11043474543281433,1.6582694532527484,0.07831778956615716,0.58869652885112,0.0,4981.129,803.031,0.07,57143106.267,10274.426,389.316,2.046,20000,20000,20000,20000,41.40434782608696,17.056521739130442,0.0,0.20000000000000004,5.0000000000000016e-05,56031.35692624328,-0.05959332421201692,56031.413484963035,[-0.01998443],0.01469202370815176,4.04899562610093,0.0
